topology,amplitude,sample,K,frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,filter_length_s,filter_length_frames,selected_frequencies_hz,decay_times_s,number_raw_features,svd_rank,condition_number,train_nmse_x,train_nmse_y,train_nmse_2d,validation_nmse_x,validation_nmse_y,validation_nmse_2d,selection_metric_value
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1700Hz,6.17,u,1,1,5.0,150,6.17,0.5 1 2 5 10 100,12,6,16.23552940693663,0.6157598734465691,0.634088380846416,0.6192416477964132,0.3641108695291573,0.8780900692042308,0.41735097111657044,0.8780900692042308
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1700Hz,6.17,u,1,1,8.0,240,6.17,0.5 1 2 5 10 100,12,6,10.499392493687958,0.5693560176095376,0.5178152587207973,0.5598334380743101,0.3729966201132192,1.3435473020919213,0.4735302933376327,1.3435473020919213
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1800Hz,6.180000000000001,u,1,1,1.0,30,6.18,0.5 1 2 5 10 100,12,4,9.847013139667006,0.5567223333373852,0.636996609676727,0.5719402106362177,0.41025794264785576,1.0225582525121317,0.4736825534488125,1.0225582525121317
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1800Hz,6.180000000000001,u,1,1,2.0,60,6.18,0.5 1 2 5 10 100,12,5,24.772955360965287,0.471698614548437,0.45023027707989893,0.46762878620112114,0.3523529395626524,0.9205650607096039,0.41121071254682706,0.9205650607096039
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1800Hz,6.180000000000001,u,1,1,3.0,90,6.18,0.5 1 2 5 10 100,12,6,20.092586783923537,0.46780366665533596,0.4420029279525451,0.4629125297469382,0.3583508878579701,0.8746376879894822,0.41183002029099297,0.8746376879894822
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1800Hz,6.180000000000001,u,1,1,5.0,150,6.18,0.5 1 2 5 10 100,12,6,17.00117438792553,0.6246805576657252,0.6722699836847696,0.6337208815296491,0.3899126759316951,0.969634677834528,0.449962690199349,0.969634677834528
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1800Hz,6.180000000000001,u,1,1,8.0,240,6.18,0.5 1 2 5 10 100,12,6,11.153470451102743,0.5769619868577406,0.5601675563404199,0.5738590775525967,0.37596703041221313,1.261895121693149,0.4677351440027208,1.261895121693149
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1900Hz,6.19,u,1,1,1.0,30,6.19,0.5 1 2 5 10 100,12,4,10.133594833195401,0.5597700800382057,0.6441980416515928,0.5757753860840904,0.41445686754055555,1.0306770450007292,0.4782875145179698,1.0306770450007292
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1900Hz,6.19,u,1,1,2.0,60,6.19,0.5 1 2 5 10 100,12,5,24.88846376653048,0.4719118986517206,0.45333496440177357,0.46839020379633417,0.3526634143218669,0.9213665518328987,0.4115720488216853,0.9213665518328987
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1900Hz,6.19,u,1,1,3.0,90,6.19,0.5 1 2 5 10 100,12,6,20.013976765880834,0.46694383626034625,0.4505009340051601,0.463826697366458,0.3627099684980091,0.8809153744859992,0.4163878380993252,0.8809153744859992
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1900Hz,6.19,u,1,1,5.0,150,6.19,0.5 1 2 5 10 100,12,6,17.630737638920984,0.6236278861026062,0.693662313535339,0.636931973976307,0.41915384140791134,1.074874180305726,0.48707607926874796,1.074874180305726
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1900Hz,6.19,u,1,1,8.0,240,6.19,0.5 1 2 5 10 100,12,6,12.51852267194563,0.5827230203443693,0.6119723227612721,0.5881270697728239,0.38385034969941023,1.1623278989720653,0.46448828958685734,1.1623278989720653
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.2000Hz,6.2,u,1,1,1.0,30,6.2,0.5 1 2 5 10 100,12,4,10.411114071470479,0.563038116380659,0.6518682120498969,0.5798779504842213,0.41877830182872183,1.0393660277047503,0.4830613576224757,1.0393660277047503
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.2000Hz,6.2,u,1,1,2.0,60,6.2,0.5 1 2 5 10 100,12,5,25.089732768530695,0.4727265486484591,0.4569722741561098,0.46973995534498064,0.35340072732890393,0.9222425112138661,0.41232372339634504,0.9222425112138661
