topology,amplitude,frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,number_drive_channels,K,filter_length_s,num_samples,selected_frequencies_hz,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,condition_number_mean,condition_number_std
topology_17_prestress,amp=1,refined_single,refined_5.5200Hz,5.5200000000000005,u,1,1,5.0,5,5.52,0.4393186596035116,0.0052347817045923775,0.9571365509873557,0.024730431615687415,0.4950987534039816,0.008237023518535131,11.843216723275159,0.06445111176598185
topology_17_prestress,amp=1,refined_single,refined_5.5200Hz,5.5200000000000005,u,1,1,8.0,5,5.52,0.4335609107413846,0.004194681885482753,0.9702527092007929,0.026534239103029877,0.49136416285194146,0.007084232619688392,29.884800890413537,0.16832583389759653
topology_17_prestress,amp=1,refined_single,refined_5.5300Hz,5.53,u,1,1,1.0,5,5.53,0.42367906582835557,0.00479603637309516,0.9137104179346028,0.005579843965846568,0.4764143153534467,0.00495998916090581,6.851615910346977,0.007416972712825723
topology_17_prestress,amp=1,refined_single,refined_5.5300Hz,5.53,u,1,1,2.0,5,5.53,0.4453852287006616,0.004205143382628924,0.8871963686234423,0.004258401180411947,0.492934105926597,0.004536788595071818,23.819487345323168,0.099271104584035
topology_17_prestress,amp=1,refined_single,refined_5.5300Hz,5.53,u,1,1,3.0,5,5.53,0.45918021290735284,0.005239033739397163,1.0064821161717168,0.008878175066071957,0.5180978803814947,0.00649934700147133,19.419531659182404,0.03270333501275509
topology_17_prestress,amp=1,refined_single,refined_5.5300Hz,5.53,u,1,1,5.0,5,5.53,0.4380730439637821,0.005441057386700096,0.9585758410307641,0.02454037708015437,0.4941414159453196,0.008411537486636455,12.295086026093628,0.06113630297910533
topology_17_prestress,amp=1,refined_single,refined_5.5300Hz,5.53,u,1,1,8.0,5,5.53,0.4332327060618062,0.004169298724006448,0.9624404337021648,0.02409182705601854,0.4902235798082398,0.006722252389793168,30.639346726763023,0.16304475752829645
topology_17_prestress,amp=1,refined_single,refined_5.5400Hz,5.54,u,1,1,1.0,5,5.54,0.42305931449111644,0.004852521637504776,0.9153818309778397,0.00570722086577084,0.47604073590185936,0.004997916295182547,6.956505990045149,0.008539658367792297
topology_17_prestress,amp=1,refined_single,refined_5.5400Hz,5.54,u,1,1,2.0,5,5.54,0.44396194458820437,0.004265746964480734,0.8884708060266396,0.0043001751372145625,0.4918008801066137,0.004585776705114597,23.344154616342504,0.09230887439006216
topology_17_prestress,amp=1,refined_single,refined_5.5400Hz,5.54,u,1,1,3.0,5,5.54,0.45819738618979633,0.00511898544505808,1.0043760089527656,0.00840498398045832,0.5169938339803916,0.006344219441138851,19.89848869702153,0.03705672836756068
topology_17_prestress,amp=1,refined_single,refined_5.5400Hz,5.54,u,1,1,5.0,5,5.54,0.43717003711595515,0.005587617157560922,0.9595147977832317,0.02412967850690547,0.4934355706770484,0.008506182539261558,12.780158516233119,0.05604514041610729
topology_17_prestress,amp=1,refined_single,refined_5.5400Hz,5.54,u,1,1,8.0,5,5.54,0.43502728283624253,0.004251583485826286,0.9518452412455172,0.021547214085226633,0.4906768985027591,0.006390340997321053,31.874895798135206,0.16769394818485725
topology_17_prestress,amp=1,refined_single,refined_5.5500Hz,5.550000000000001,u,1,1,1.0,5,5.55,0.4225130670555338,0.0049030005074941286,0.9169432286147009,0.005830711228693901,0.47572093148134503,0.005030720840211301,7.080182026750656,0.009296395590264128
topology_17_prestress,amp=1,refined_single,refined_5.5500Hz,5.550000000000001,u,1,1,2.0,5,5.55,0.4418590247576396,0.004338265424650876,0.8900046250411726,0.00435197212326867,0.49008898229348014,0.004642671619709111,22.934772768768728,0.08535599992621364
topology_17_prestress,amp=1,refined_single,refined_5.5500Hz,5.550000000000001,u,1,1,3.0,5,5.55,0.4564876971730959,0.004953557591572221,1.0015703836674164,0.007939068007780017,0.5151658773631796,0.006147323382556214,20.330993812251556,0.04253440124689766
topology_17_prestress,amp=1,refined_single,refined_5.5500Hz,5.550000000000001,u,1,1,5.0,5,5.55,0.4367198408543665,0.0056816084909788915,0.959602020155167,0.023498048501814455,0.4930417007894401,0.00852615705778615,13.214868906645084,0.05014276770021726
topology_17_prestress,amp=1,refined_single,refined_5.5500Hz,5.550000000000001,u,1,1,8.0,5,5.55,0.4764723031480382,0.00566384056407856,0.8594558927834429,0.010543675199790542,0.5177046867322199,0.006346271145159364,32.70383757286115,0.1890898625602164
topology_17_prestress,amp=1,refined_single,refined_5.5600Hz,5.5600000000000005,u,1,1,1.0,5,5.56,0.42204366815299627,0.004947931833391716,0.9183909746208228,0.00595019808676739,0.47545749359512046,0.005058773123909426,7.217932724593709,0.009886892006995582
topology_17_prestress,amp=1,refined_single,refined_5.5600Hz,5.5600000000000005,u,1,1,2.0,5,5.56,0.43957099651126563,0.004410144165404014,0.8915841341310424,0.004413347380043481,0.48821679041424504,0.004697599698048532,22.587830156516336,0.07833177827060714
topology_17_prestress,amp=1,refined_single,refined_5.5600Hz,5.5600000000000005,u,1,1,3.0,5,5.56,0.4540398154657977,0.004753087676618584,0.9981612027851845,0.00748711263480564,0.5126142271652153,0.0059191027165819525,20.6677061961652,0.04829959308981917
topology_17_prestress,amp=1,refined_single,refined_5.5600Hz,5.5600000000000005,u,1,1,5.0,5,5.56,0.4368109605161184,0.0057344831058073935,0.9585989045333466,0.022637827921534882,0.4930130446566293,0.00847992718689908,13.536085232560376,0.04540172885629776
topology_17_prestress,amp=1,refined_single,refined_5.5600Hz,5.5600000000000005,u,1,1,8.0,5,5.56,0.5013408623418112,0.007077484830208928,0.8611988857342363,0.009770921712941256,0.5400811616280791,0.007806134373994972,31.534446219537767,0.2248896894461827
topology_17_prestress,amp=1,refined_single,refined_5.5700Hz,5.57,u,1,1,1.0,5,5.57,0.42165236742307055,0.004987730429751629,0.919723917169458,0.00606572727235598,0.4752514114195465,0.005082394874891451,7.367516928088068,0.010430628336469976
topology_17_prestress,amp=1,refined_single,refined_5.5700Hz,5.57,u,1,1,2.0,5,5.57,0.4373614892326413,0.004476198985274409,0.8931030317802413,0.004480880523650421,0.4864081548617783,0.004746794103061188,22.30245465621623,0.07120732373838726
topology_17_prestress,amp=1,refined_single,refined_5.5700Hz,5.57,u,1,1,3.0,5,5.57,0.4508904485040229,0.004530593760037745,0.9942283188364653,0.007053630771519555,0.5093802272422867,0.005672058134245775,20.863103769030843,0.053569972835810435
topology_17_prestress,amp=1,refined_single,refined_5.5700Hz,5.57,u,1,1,5.0,5,5.57,0.4375380018946096,0.005760882669084661,0.9563905766181551,0.021541048762856715,0.493421588993953,0.00837894012140536,13.71467074597976,0.044149132376596775
topology_17_prestress,amp=1,refined_single,refined_5.5700Hz,5.57,u,1,1,8.0,5,5.57,0.5026079354551228,0.007629379429296828,0.8720503649687202,0.009221563038068098,0.5423772750978616,0.008230219902529683,30.67770516114543,0.25304248723285455
topology_17_prestress,amp=1,refined_single,refined_5.5800Hz,5.58,u,1,1,1.0,5,5.58,0.42133834193224073,0.00502275911452962,0.9209427828069167,0.006177483126441519,0.4751020266728666,0.005101855038836901,7.527840331236092,0.010989378105278348
topology_17_prestress,amp=1,refined_single,refined_5.5800Hz,5.58,u,1,1,2.0,5,5.58,0.4353575464446412,0.004533939282946913,0.894511119182994,0.004550557021109051,0.484771063132645,0.004788651892687853,22.081450817225473,0.06400201916676172
topology_17_prestress,amp=1,refined_single,refined_5.5800Hz,5.58,u,1,1,3.0,5,5.58,0.4471305558962677,0.004299654327828022,0.9898425730908234,0.006640754106962829,0.5055526597981682,0.0054187688250388185,20.884788926431888,0.05770242365455802
topology_17_prestress,amp=1,refined_single,refined_5.5800Hz,5.58,u,1,1,5.0,5,5.58,0.4390267209836404,0.0057760883513340066,0.9529790233886388,0.020220081337138623,0.4943797227460238,0.008237403935532515,13.754719170017538,0.047461513627313004
topology_17_prestress,amp=1,refined_single,refined_5.5800Hz,5.58,u,1,1,8.0,5,5.58,0.4982352827123277,0.008012761089029872,0.8766006382300761,0.008430075245766238,0.538962591088409,0.008507525429333841,30.38127809220793,0.26897035230662125
topology_17_prestress,amp=1,refined_single,refined_5.5900Hz,5.590000000000001,u,1,1,1.0,5,5.59,0.421098705155494,0.005053323689566752,0.9220496463357613,0.0062857640673088504,0.47500698465085367,0.005117368066051625,7.698286652435056,0.011595197494911266
topology_17_prestress,amp=1,refined_single,refined_5.5900Hz,5.590000000000001,u,1,1,2.0,5,5.59,0.43359559538281955,0.004582231492633641,0.8957933720937834,0.004619075857283679,0.48333641575164155,0.004822583745110181,21.93074648438453,0.056775750080917016
topology_17_prestress,amp=1,refined_single,refined_5.5900Hz,5.590000000000001,u,1,1,3.0,5,5.59,0.4429060975932996,0.0040725061693647644,0.9850706019576752,0.0062484720783737464,0.5012689314897221,0.005170142788695321,20.72058392414679,0.06019126253999809
topology_17_prestress,amp=1,refined_single,refined_5.5900Hz,5.590000000000001,u,1,1,5.0,5,5.59,0.4414527538490424,0.005792863581943189,0.9485017197518497,0.018737319593029385,0.49605902262820506,0.008072329678884105,13.677777078875266,0.05383737690496003
topology_17_prestress,amp=1,refined_single,refined_5.5900Hz,5.590000000000001,u,1,1,8.0,5,5.59,0.49301372023914247,0.007552162758947735,0.9021076398636249,0.03191916951421957,0.53699208597602,0.006347424800110595,22.941421963286004,9.284204813174437
topology_17_prestress,amp=1,refined_single,refined_5.6000Hz,5.6000000000000005,u,1,1,1.0,5,5.6,0.4209285066847315,0.005079670488300557,0.9230474825735439,0.006390959513841885,0.4749621857873126,0.005129094268374272,7.878366310241371,0.012264922234068765
topology_17_prestress,amp=1,refined_single,refined_5.6000Hz,5.6000000000000005,u,1,1,2.0,5,5.6,0.4320593012631937,0.00462097886736533,0.8969566842156066,0.0046844556636287905,0.482090381449033,0.00484872186064892,21.85814520774373,0.049628735248527615
topology_17_prestress,amp=1,refined_single,refined_5.6000Hz,5.6000000000000005,u,1,1,3.0,5,5.6,0.4384108812776441,0.003858802325262041,0.9799793297070071,0.005875360107303306,0.4967091752252159,0.004934319520798393,20.382376913479057,0.06067065795101456
topology_17_prestress,amp=1,refined_single,refined_5.6000Hz,5.6000000000000005,u,1,1,5.0,5,5.6,0.44501686433350063,0.00581810161226603,0.9431563747624008,0.01721031217588934,0.49866009545933937,0.007900645621277997,13.574234378905242,0.0624463936580966
topology_17_prestress,amp=1,refined_single,refined_5.6000Hz,5.6000000000000005,u,1,1,8.0,5,5.6,0.5075044965861604,0.00902527069404855,0.9464138562323432,0.015944355012358503,0.554744211424421,0.009678092945587772,11.46842092295024,0.12786768923896172
topology_17_prestress,amp=1,refined_single,refined_5.6100Hz,5.61,u,1,1,1.0,5,5.61,0.4208207306336763,0.00510198619870611,0.9239398005991267,0.006493529132996988,0.47496174491722465,0.005137141924519484,8.067513952693327,0.013006991018892647
topology_17_prestress,amp=1,refined_single,refined_5.6100Hz,5.61,u,1,1,2.0,5,5.61,0.4307148597258867,0.004651082974184133,0.8980201204144865,0.004746118171510629,0.48100484300665214,0.00486788322160133,21.871924916252116,0.04271325801210142
topology_17_prestress,amp=1,refined_single,refined_5.6100Hz,5.61,u,1,1,3.0,5,5.61,0.4338705117469557,0.003665134599603925,0.9746398653068029,0.005519589639070668,0.4920823473576624,0.00471630207005369,19.907011297219,0.0589331806287153
topology_17_prestress,amp=1,refined_single,refined_5.6100Hz,5.61,u,1,1,5.0,5,5.61,0.4497800880359851,0.0058489513699228396,0.9369393456292844,0.01576760164806126,0.5022372558831374,0.007731091157462852,14.5034269779571,0.06719754809419724
topology_17_prestress,amp=1,refined_single,refined_5.6100Hz,5.61,u,1,1,8.0,5,5.61,0.5153590407388873,0.010019635329404544,0.9365794372545538,0.01586194866626607,0.5606971391683567,0.010772713012951,11.288227289680247,0.12217171948419998
topology_17_prestress,amp=1,refined_single,refined_5.6200Hz,5.62,u,1,1,1.0,5,5.62,0.4207663036777937,0.005120399739801079,0.9247303580567706,0.006593985004155573,0.47499796774222103,0.005141570877700983,8.264960675614153,0.013824662599500794
