sample,node,dim,train_min_px,train_max_px,train_mean_px,test_min_px,test_max_px,final_test_px,final_outside_train_px,max_test_outside_train_px,max_test_outside_time_s,emphasized_node
sample_1,15,x,2917.9877067918524,2919.7275702733923,2918.96191957867,2912.2832075312226,2919.536235508361,2913.19334941822,-4.794357373632465,5.7044992606297455,23.990633249282837,True
sample_1,15,y,2019.4366345333615,2020.472838816908,2020.0255007750638,2014.1694839425004,2020.462352133197,2014.2323682401318,-5.2042662932296935,5.2671505908610925,24.55786657333374,True
sample_2,0,x,810.0224823607205,1169.2791465674504,1036.364258739786,797.0383024583477,1267.6897939529836,1020.1878060212726,0.0,98.41064738553314,19.419399976730347,False
sample_2,0,y,178.99341873141367,185.55753192598385,181.60531050029618,178.15061285888052,184.40579741597577,183.4007571660357,0.0,0.8428058725331482,20.08673334121704,False
sample_2,1,x,1512.9541946993959,1767.8683587282292,1670.3442966675716,1512.454653864342,1823.410771862608,1681.184938619326,0.0,55.542413134378876,19.45276665687561,False
sample_2,1,y,213.10922958604093,378.87290610804513,285.0904294684817,213.6946795432096,376.5729965519291,290.23008862145974,0.0,0.0,14.948266744613647,False
sample_2,2,x,2156.8321425727668,2300.682689142029,2247.0744956403273,2171.461176259712,2311.5611355735805,2258.008425689116,0.0,10.87844643155131,19.285933256149292,False
sample_2,2,y,209.1432954301652,384.2956701090824,291.79959592446767,214.73227044707917,382.1251581595439,279.50899403239555,0.0,0.0,14.948266744613647,False
sample_2,3,x,2868.1861425667826,2870.0830863982337,2869.232847874971,2868.3264944991984,2869.7753935437067,2869.646843868273,0.0,0.0,14.948266744613647,True
sample_2,3,y,177.07207089889673,178.2697794506937,177.65307905760815,177.1725711801782,178.06336580440356,177.31997070808137,0.0,0.0,14.948266744613647,True
sample_2,4,x,978.0642691480145,1229.8566622849792,1129.470920030637,999.9652758859155,1286.101048317175,1182.955839850391,0.0,56.244386032195735,19.45276665687561,False
sample_2,4,y,788.7359395855285,869.6661525350911,826.2860153199724,797.1375305580656,852.3860450554298,830.832164513204,0.0,0.0,14.948266744613647,False
sample_2,5,x,1565.6830741171568,1789.9791873999395,1696.445010545081,1590.3159652087884,1815.2733321181188,1752.0719619968759,0.0,25.29414471817927,19.45276665687561,False
sample_2,5,y,774.7729822363352,945.2885336016213,849.7817728706264,773.9598003190337,938.6437728339107,856.7705832423911,0.0,0.8131819173015629,17.11710000038147,False
sample_2,6,x,2094.1899561601117,2313.356946159633,2218.7711220033357,2130.411990713156,2302.81033351232,2268.3681373471964,0.0,0.0,14.948266744613647,False
