sample,Q_extra,D,horizon_steps,lag_stride_frames,target_delay_frames_min,target_delay_frames_max,target_delay_set_frames,max_lag_frames,number_of_terms,status,selected_alpha,min_cv_train_rows,window_rows,terms_per_min_cv_train_row,train_nmse_x_mean,train_nmse_x_std,val_nmse_x_mean,val_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,val_nmse_y_mean,val_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,val_nmse_2d_mean,val_nmse_2d_std,train_val_gap_2d
sample_2,8,1,5,1,5,13,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",8,9,ok,0.01,443,591,0.020316027088036117,0.31236115565668454,0.044380607411409284,0.4136017613196591,0.11766581943382898,0.8850179987568666,0.012509488220819516,0.9141118001135371,0.043874406461712596,0.39027096079558793,0.0454448849537449,0.4902479458344197,0.11415559072983082,0.09997698503883179
sample_2,9,1,5,1,5,14,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",9,10,ok,0.01,442,590,0.02262443438914027,0.3116441464138691,0.04470320974810706,0.41498891115708003,0.12034559178888873,0.8756352674704482,0.01775570797102119,0.9097718066706147,0.05987631703987296,0.3880909858676706,0.04497264858232263,0.48968256302160595,0.1144072606787637,0.10159157715393535
sample_2,10,1,5,1,5,15,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",10,11,ok,0.01,441,589,0.024943310657596373,0.3102591470089969,0.044515715262414636,0.41624054414736317,0.12267818882662593,0.8735804640624727,0.017528540162870462,0.9115875638594448,0.05812418616689817,0.38655449094639044,0.044788297250597284,0.49108423035033444,0.11627891661224345,0.104529739403944
sample_2,0,2,5,1,5,5,[5],0,2,ok,0.01,449,599,0.004454342984409799,0.3686409664177053,0.056201417250877884,0.48234269774445854,0.14541567334632097,0.9560690722719877,0.012129082483267458,0.9714196089522686,0.02903873432202602,0.44959776794449824,0.05965700205088545,0.5596839235474803,0.14835977545346227,0.11008615560298207
sample_2,1,2,5,1,5,6,"[5, 6]",1,5,ok,1.0,448,598,0.011160714285714286,0.36045613052033054,0.05831448900584772,0.4783210422072284,0.14866393336224143,0.9434436983350565,0.008250599738670391,0.9607312544809666,0.019527677261981024,0.44061474429130065,0.06076566234262279,0.553931734078112,0.1489020157425441,0.11331698978681137
sample_2,2,2,5,1,5,7,"[5, 6, 7]",2,9,ok,0.01,447,597,0.020134228187919462,0.33573331745646884,0.05377083006138062,0.4486907890620177,0.14520342338852213,0.9300085885339333,0.00968389876962403,0.9664557053651996,0.0171316036706862,0.41741627229872813,0.057190320644200106,0.5302007705563594,0.14650310763700203,0.11278449825763126
sample_2,3,2,5,1,5,8,"[5, 6, 7, 8]",3,14,ok,0.01,447,596,0.03131991051454139,0.3326645205266402,0.053694837323629084,0.4553547128546247,0.1515128312103877,0.9107294704758448,0.011548147652902827,0.9672360509802554,0.02440398201158246,0.4121276638645279,0.05719685882329101,0.5359505440744127,0.1530375436254001,0.12382288020988474
sample_2,4,2,5,1,5,9,"[5, 6, 7, 8, 9]",4,20,ok,1.0,446,595,0.04484304932735426,0.33858528533066967,0.05232099071674431,0.46346627324433187,0.13795746748447935,0.9070480398818921,0.007983750684424471,0.9475699978702297,0.02053619787254723,0.41641345471526087,0.05515085434843201,0.5389479231437211,0.13803679715864278,0.12253446842846022
sample_2,5,2,5,1,5,10,"[5, 6, 7, 8, 9, 10]",5,27,ok,1.0,445,594,0.060674157303370786,0.32950012362057685,0.049138919413424624,0.45452346770500923,0.1297558014863139,0.9037521004099552,0.008057015539667848,0.95620240584169,0.014694297712190933,0.4081463250760029,0.05267037885295354,0.5331610012467739,0.13220487631862096,0.125014676170771
sample_2,6,2,5,1,5,11,"[5, 6, 7, 8, 9, 10, 11]",6,35,ok,1.0,444,593,0.07882882882882883,0.32869546660913107,0.048856983921189735,0.45645678186743854,0.1273048052366378,0.8847166002422912,0.006754969912465393,0.9437935900922778,0.014991419317799048,0.40467795971357,0.05155694277494009,0.5324526684421607,0.12850068671174275,0.12777470872859065
