H,D,number_of_terms,number_of_terms_std,selected_alpha,selected_alpha_std,validation_nmse_2d,validation_nmse_2d_std,train_nmse_x,train_nmse_x_std,test_nmse_x,test_nmse_x_std,train_nmse_y,train_nmse_y_std,test_nmse_y,test_nmse_y_std,train_nmse_2d,train_nmse_2d_std,test_nmse_2d,test_nmse_2d_std,num_train_rows,num_train_rows_std,num_test_rows,num_test_rows_std,terms_per_train_row,terms_per_train_row_std,num_samples
13,2,119.0,0.0,1.0,0.0,1.1710966565400398,0.03704387543764764,0.40604707119213235,0.007494601587887119,0.31502498386413935,0.0018959347000453558,0.7348232191716867,0.004435250445642601,1.0348813522122822,0.01440917086490645,0.4673458979712482,0.00656305024307284,0.3924852341699544,0.0017537983074864454,299.0,0.0,299.0,0.0,0.3979933110367893,0.0,5
14,2,135.0,0.0,1.0,0.0,1.1648325917535838,0.03642890712694509,0.38560198852024236,0.006675190422391077,0.34069640228750175,0.002686914020238247,0.6852405819750796,0.0052811569390909625,1.0705006564351407,0.017885254920927105,0.4414664592794897,0.006134300363445506,0.41921848353502505,0.0021714921662091117,299.0,0.0,299.0,0.0,0.45150501672240806,5.551115123125783e-17,5
15,2,152.0,0.0,1.0,0.0,1.1125620296901655,0.040769469302090626,0.3734666964825264,0.005788734050999089,0.3717346721141847,0.003910824809513909,0.6646495963654868,0.005383416030142606,1.1023750138941877,0.01858036009658242,0.4277549284272914,0.005435707781033466,0.4503416458838207,0.0030747344933685582,299.0,0.0,299.0,0.0,0.5083612040133779,0.0,5
16,2,170.0,0.0,1.0,0.0,1.1385039582938663,0.04063905348729872,0.3684153917620332,0.006049684211052284,0.3707567728932649,0.0037911573008893498,0.6252248685300162,0.005652768327787256,1.1081072738306632,0.017231696243469423,0.4162941585310385,0.005721028951562643,0.4500898414673502,0.0031884997906911797,299.0,0.0,299.0,0.0,0.568561872909699,0.0,5
17,2,189.0,0.0,1.0,0.0,1.171519920095241,0.03384181378055907,0.3521101695842579,0.006097584730701856,0.37435840786828467,0.0023678102042195776,0.6020398243357455,0.005671716586505061,1.0966357725276112,0.016125342616478678,0.3987064859509858,0.005747217084676877,0.4520755726343248,0.002225506796214794,299.0,0.0,299.0,0.0,0.6321070234113713,0.0,5
18,2,209.0,0.0,1.0,0.0,1.221616318693357,0.03066882261874657,0.33447656001301124,0.006549372850542531,0.4130525924211807,0.0026422917898087637,0.5704798182797102,0.006012593987034635,1.1331718797692403,0.018000673687807885,0.3784766806713192,0.006176617913209114,0.4905405076507409,0.0030482255622149377,299.0,0.0,299.0,0.0,0.6989966555183946,0.0,5
19,2,230.0,0.0,1.0,0.0,1.277426817800643,0.03925631660656322,0.31708419623590844,0.005983780760404455,0.4660545824343029,0.00514815295661046,0.5370605052816948,0.006156873729706012,1.1510180873723124,0.017582042264945825,0.3580948405995468,0.005741508170486326,0.5397608508911484,0.00506954491336759,299.0,0.0,299.0,0.0,0.7692307692307693,0.0,5
20,2,252.0,0.0,1.0,0.0,1.275681076755776,0.0320225151905302,0.3078224565186375,0.005468320100206213,0.5063499620219172,0.0056936167766530954,0.5153595183569213,0.00644198878358411,1.1491186431871478,0.02002723976940179,0.34651382549329945,0.005433088591294418,0.5755078285759433,0.0056561284980002026,299.0,0.0,299.0,0.0,0.842809364548495,0.0,5
0,3,3.0,0.0,2.0000079999999997e-05,3.999996000000001e-05,0.8344499236056656,0.007030021453271134,0.5369715937990505,0.01245940248553058,0.32387818651928085,0.0017477451582470374,0.9834153867116843,0.0006201984619755593,0.9394216439506629,0.0027949497247085576,0.6202107177187831,0.00990677882759278,0.3901440466908531,0.002906023492794816,299.0,0.0,299.0,0.0,0.010033444816053512,0.0,5
1,3,9.0,0.0,1.0,0.0,0.8277276943155158,0.008035859481821929,0.5306861535378884,0.012836418213818196,0.33110378651601197,0.001514627624054141,0.9564803991909736,0.0016315469491458945,0.9422319745472416,0.002133195835599401,0.6100749509891886,0.010410823187452874,0.3968934239274458,0.0024417924943714855,299.0,0.0,299.0,0.0,0.030100334448160536,0.0,5
2,3,19.0,0.0,1.0,0.0,0.8648608799454133,0.003459155132331184,0.4955754687660033,0.010862934858228132,0.3236213581406035,0.0014449366676085173,0.9418398739980315,0.002009229707517448,0.9460629988473203,0.0035549350427812607,0.5787794256021062,0.00882615052699534,0.3906184820666833,0.0018508079599874694,299.0,0.0,299.0,0.0,0.06354515050167224,0.0,5
3,3,34.0,0.0,1.0,0.0,0.9049529251977211,0.006764203462952065,0.49045724967023174,0.010739427684699718,0.3347824001033918,0.0019070767796087321,0.917415647634142,0.0021698538544123636,0.9552810651227286,0.003961175055576689,0.5700613427358244,0.008751557975681655,0.4015682252783308,0.002430658487971612,299.0,0.0,299.0,0.0,0.11371237458193979,0.0,5
