topology,amplitude,sample,H,D,fold,selected_alpha,number_of_terms,min_training_rows_per_fold,terms_per_training_row,overparameterized,condition_warning,train_nmse_x,val_nmse_x,train_nmse_y,val_nmse_y,train_nmse_2d,val_nmse_2d
topology_12_prestress,amp=2.5,sample_4,28,2,1,1.0,464,427,1.0866510538641687,True,overparameterized_terms_gt_0.8_train_rows,0.1527566865336673,0.9388761209987572,0.32819238654749877,0.8685262703906154,0.15938858576551365,0.9352737817435705
topology_12_prestress,amp=2.5,sample_4,28,2,2,1.0,464,427,1.0866510538641687,True,overparameterized_terms_gt_0.8_train_rows,0.18205817960241794,0.6281983290099707,0.31951605929128934,0.9249030562954322,0.18833265062218563,0.6378798366176132
topology_12_prestress,amp=2.5,sample_4,28,2,3,1.0,464,427,1.0866510538641687,True,overparameterized_terms_gt_0.8_train_rows,0.18758972727067275,0.8334724803336379,0.3394569781128577,1.120868411873676,0.19387611655671755,0.8457043689933024
topology_12_prestress,amp=2.5,sample_4,29,2,0,1.0,495,426,1.1619718309859155,True,overparameterized_terms_gt_0.8_train_rows,0.14862218084961745,0.9575801181092118,0.25704011513950725,1.0928256729390018,0.15262509207670222,0.9655164067893318
topology_12_prestress,amp=2.5,sample_4,29,2,1,1.0,495,426,1.1619718309859155,True,overparameterized_terms_gt_0.8_train_rows,0.14803926663307232,0.9350552182463697,0.31754697410878185,0.836643415319207,0.15443200933808973,0.9299906080618364
topology_12_prestress,amp=2.5,sample_4,29,2,2,1.0,495,426,1.1619718309859155,True,overparameterized_terms_gt_0.8_train_rows,0.17310741547165978,0.6413167815887933,0.30621736618452566,0.9153929815713145,0.1791673100218838,0.6502599178828492
topology_12_prestress,amp=2.5,sample_4,29,2,3,1.0,495,426,1.1619718309859155,True,overparameterized_terms_gt_0.8_train_rows,0.17761881913836022,0.9814148058375601,0.31855978617791814,1.314116952392868,0.183446728938618,0.9955749771096055
topology_12_prestress,amp=2.5,sample_4,30,2,0,1.0,527,426,1.2370892018779343,True,overparameterized_terms_gt_0.8_train_rows,0.14228260936623327,0.9763303413330657,0.24304292575978825,1.0884425638819217,0.14600279278771336,0.9829195597790344
topology_12_prestress,amp=2.5,sample_4,30,2,1,1.0,527,426,1.2370892018779343,True,overparameterized_terms_gt_0.8_train_rows,0.14262204997934902,0.9393186259604368,0.30853384410745044,0.7996016175845729,0.14887076433904936,0.9321283077005771
topology_12_prestress,amp=2.5,sample_4,30,2,2,1.0,527,426,1.2370892018779343,True,overparameterized_terms_gt_0.8_train_rows,0.16542856665975503,0.6528535861681297,0.2914465650895934,0.9062843522269209,0.17115268503584843,0.6611230597018234
topology_12_prestress,amp=2.5,sample_4,30,2,3,1.0,527,426,1.2370892018779343,True,overparameterized_terms_gt_0.8_train_rows,0.16871374832542466,1.1022599564854645,0.30484121607718806,1.3503738114196389,0.17433857469702976,1.1128199565251733
topology_13_prestress,amp=2.5,sample_0,0,1,0,0.0001,1,448,0.002232142857142857,False,,0.29923440593048517,0.438222289574239,0.6459317621141805,0.9763647998994149,0.3142445008974677,0.4714739227565808
topology_13_prestress,amp=2.5,sample_0,0,1,1,0.0001,1,448,0.002232142857142857,False,,0.27034894366184514,0.5947635954433175,0.6986336964148051,0.7942515671760956,0.289620424842398,0.6036844760065943
topology_13_prestress,amp=2.5,sample_0,0,1,2,0.0001,1,448,0.002232142857142857,False,,0.3747991302221314,0.2456533049088251,0.7805340541216571,0.7032892154208039,0.39306800090053173,0.2656476536625891
topology_13_prestress,amp=2.5,sample_0,0,1,3,0.0001,1,448,0.002232142857142857,False,,0.3310103580965907,0.4115754415073072,0.7312821965713134,0.7322605068558476,0.35011848146771674,0.42815049564834146
topology_13_prestress,amp=2.5,sample_0,1,1,0,0.01,2,447,0.0044742729306487695,False,,0.292961229899149,0.4269056918961257,0.6386336667297049,0.9643042353882693,0.30789264588377685,0.4598535408170422
topology_13_prestress,amp=2.5,sample_0,1,1,1,0.01,2,447,0.0044742729306487695,False,,0.2632213546546655,0.5905162310674931,0.6911681596261235,0.786361331678044,0.28241703184229894,0.5991507116682246
