H,D,number_of_terms,number_of_terms_std,selected_alpha,selected_alpha_std,validation_nmse_2d,validation_nmse_2d_std,train_nmse_x,train_nmse_x_std,test_nmse_x,test_nmse_x_std,train_nmse_y,train_nmse_y_std,test_nmse_y,test_nmse_y_std,train_nmse_2d,train_nmse_2d_std,test_nmse_2d,test_nmse_2d_std,num_train_rows,num_train_rows_std,num_test_rows,num_test_rows_std,terms_per_train_row,terms_per_train_row_std,num_samples
13,2,119.0,0.0,1.0,0.0,1.1939700288225823,0.04744093445973788,0.36657186138461084,0.0013395799812616041,0.3494121365565649,0.003813286366875565,0.5130466064630641,0.007231093273603244,0.46544417766919743,0.06876318519661795,0.3721542403041012,0.001118233549055607,0.35307128457379305,0.002276893047158891,299.0,0.0,299.0,0.0,0.3979933110367893,0.0,5
14,2,135.0,0.0,1.0,0.0,1.2062060963625707,0.051939303208804015,0.3606542075326429,0.001232955399781295,0.3707577764341278,0.00310150849824174,0.49541551970844067,0.006217268036216109,0.4765695962019173,0.05863731334046986,0.36579091571378936,0.0010252209684230794,0.3740909991781428,0.002056260488178627,299.0,0.0,299.0,0.0,0.45150501672240806,5.551115123125783e-17,5
15,2,152.0,0.0,1.0,0.0,1.2436092034205326,0.051381733373649395,0.35652389074035074,0.0012279461612609245,0.3783449118582371,0.002177277103388882,0.48403036284184725,0.005642736552571746,0.4942159569876884,0.053860120134230416,0.3613845131178934,0.0010433946939208444,0.3819859887003145,0.0016462583986850425,299.0,0.0,299.0,0.0,0.5083612040133779,0.0,5
16,2,170.0,0.0,1.0,0.0,1.2845036563829741,0.05029944642638897,0.3468282029379311,0.001152506683521756,0.3793044760773741,0.0021122221239636614,0.4584149505895182,0.005489922331572572,0.5127592067798549,0.07066247801263645,0.35108120788668157,0.00098971515904096,0.3835041068612239,0.0019304689071608953,299.0,0.0,299.0,0.0,0.568561872909699,0.0,5
17,2,189.0,0.0,1.0,0.0,1.2991841306907088,0.048066272434789156,0.32919532511947247,0.0013484115973604921,0.40243498444221776,0.002596738593003239,0.44775142924758066,0.005888725607682115,0.5580133369448309,0.08457179625842298,0.33371403140524386,0.0012167444774079832,0.40733118326820844,0.003815356062482351,299.0,0.0,299.0,0.0,0.6321070234113713,0.0,5
18,2,209.0,0.0,1.0,0.0,1.311549237588499,0.05614387912614388,0.3110877182264503,0.001791801070186519,0.4479655177398982,0.00516999418267784,0.4337742098306855,0.0064970285395728,0.5475207645538843,0.0831382091200543,0.31576416695597465,0.0016801224457788288,0.45111876369641324,0.006519291150525212,299.0,0.0,299.0,0.0,0.6989966555183946,0.0,5
19,2,230.0,0.0,1.0,0.0,1.403478113124893,0.07250759693530234,0.3005116562624942,0.0016681846466851892,0.5048748258388995,0.006565055453482815,0.4212723870644634,0.006109581061062511,0.5739418447407361,0.08886150980160522,0.30511537528371274,0.001528492413478413,0.5070846066365269,0.00798630891338795,299.0,0.0,299.0,0.0,0.7692307692307693,0.0,5
20,2,252.0,0.0,1.0,0.0,1.444283663367612,0.0731332468815463,0.2926904113615766,0.0011484615815322233,0.5526837568662178,0.005092213955396389,0.40404707744243806,0.005602907985247075,0.6637686990448859,0.1027430646439805,0.2969364123469839,0.0009908590251416956,0.5562096146245477,0.006777589446044422,299.0,0.0,299.0,0.0,0.842809364548495,0.0,5
0,3,3.0,0.0,2.0000079999999997e-05,3.999996000000001e-05,0.7152261701137821,0.014052738637332446,0.4472104588457874,0.0014603593572986326,0.32742440455550215,0.003888559504066606,0.6601164106423275,0.00877645319838993,0.5142365555384207,0.07682373862470362,0.45532582338339134,0.0012056450149402766,0.33328749747933084,0.004247699779296173,299.0,0.0,299.0,0.0,0.010033444816053512,0.0,5
1,3,9.0,0.0,1.0,0.0,0.7145012371254353,0.01576661963169259,0.437805656918795,0.0014276503969061285,0.33878904581528263,0.004246890427776566,0.6356121158482301,0.008072475454964208,0.5323268950943693,0.08840694626116254,0.44534429686728344,0.0012299388535350556,0.34487111169666995,0.00442345376437583,299.0,0.0,299.0,0.0,0.030100334448160536,0.0,5
2,3,19.0,0.0,0.20000079999999992,0.39999959999999996,0.7205189778300726,0.01693770041250037,0.41920606205731525,0.008813670061728663,0.38330552060703615,0.015298228719692424,0.5947231975571571,0.006836464052942197,0.47169826849523355,0.06744854663493188,0.42589582682081834,0.008706986680180448,0.3861067840804997,0.015418666830433072,299.0,0.0,299.0,0.0,0.06354515050167224,0.0,5
