topology,amplitude,sample,candidate_id,mode_index,raw_feature_name,drive_channel,frequency_hz,decay_time_s,phase,product_degree,factor_indices,number_factors,loading
topology_17_prestress,amp=1,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=1.000s_sin,u*u,5.82*5.82,0.2*1.0,sin*sin,2,1 5,2,0.13197194039821625
topology_17_prestress,amp=1,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=2.000s_cos,u*u,5.82*5.82,0.2*2.0,sin*cos,2,1 6,2,-0.11660124361515045
topology_17_prestress,amp=1,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=2.000s_sin,u*u,5.82*5.82,0.2*2.0,sin*sin,2,1 7,2,0.16425389051437378
topology_17_prestress,amp=1,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_cos,u*u,5.82*5.82,0.2*5.0,sin*cos,2,1 8,2,-0.14355498552322388
topology_17_prestress,amp=1,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_sin,u*u,5.82*5.82,0.2*5.0,sin*sin,2,1 9,2,0.18337279558181763
topology_17_prestress,amp=1,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=0.500s_cos,u*u,5.82*5.82,0.5*0.5,cos*cos,2,2 2,2,-0.10019450634717941
topology_17_prestress,amp=1,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=0.500s_sin,u*u,5.82*5.82,0.5*0.5,cos*sin,2,2 3,2,0.007958078756928444
topology_17_prestress,amp=1,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=1.000s_cos,u*u,5.82*5.82,0.5*1.0,cos*cos,2,2 4,2,-0.14217518270015717
topology_17_prestress,amp=1,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=1.000s_sin,u*u,5.82*5.82,0.5*1.0,cos*sin,2,2 5,2,0.03578796982765198
topology_17_prestress,amp=1,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=2.000s_cos,u*u,5.82*5.82,0.5*2.0,cos*cos,2,2 6,2,-0.17857272922992706
topology_17_prestress,amp=1,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=2.000s_sin,u*u,5.82*5.82,0.5*2.0,cos*sin,2,2 7,2,0.06846462935209274
